TestNum,Reps,Time(s),DGEFA%,DGESL%,OVERHEAD%,KFLOPS
1.0,128.0,0.97,88.93,1.82,9.24,5305209.594
1.0,256.0,1.95,88.84,1.77,9.39,5272146.97
1.0,512.0,3.87,88.99,1.77,9.25,5303790.339
1.0,1024.0,7.72,88.99,1.75,9.26,5313132.21
1.0,2048.0,15.54,88.97,1.75,9.28,5280827.41
2.0,128.0,0.98,89.16,1.68,9.16,5243608.406
2.0,256.0,1.95,89.01,1.74,9.24,5269138.651
2.0,512.0,3.92,89.18,1.71,9.11,5228793.71
2.0,1024.0,7.86,89.25,1.66,9.1,5211910.085
2.0,2048.0,15.53,89.01,1.74,9.25,5284864.217
0.0,793.6,6.029,89.033,1.739,9.228,5271342.159
