TestNum,Reps,Time(s),DGEFA%,DGESL%,OVERHEAD%,KFLOPS
1.0,128.0,0.95,89.04,1.62,9.33,5408073.625
1.0,256.0,1.93,88.94,1.62,9.43,5312628.062
1.0,512.0,3.88,89.26,1.61,9.13,5286265.855
1.0,1024.0,7.65,89.06,1.61,9.33,5367227.55
1.0,2048.0,15.4,89.11,1.62,9.26,5327989.027
2.0,128.0,0.97,89.13,1.61,9.26,5262968.63
2.0,256.0,1.95,89.22,1.65,9.13,5241948.836
2.0,512.0,3.91,88.9,1.61,9.49,5265810.525
2.0,1024.0,7.71,89.09,1.58,9.33,5325121.148
2.0,2048.0,15.51,89.07,1.68,9.25,5289044.691
0.0,793.6,5.986,89.082,1.621,9.294,5308707.795

